tool_name,description,price_info,webapp_info,category_ids
ChatGPT,"OpenAl에서 개발한 자연어 처리 기반의 대화형 AI모델로, 다양한 주제에 대해 인간과 유사한 대화를 제공합니다. 최근 업데이트로 인해 검색엔진으로서의 경쟁을 본격화 시작합니다.","- Free\n- Plus - $20\n- Pro - $200",Web/App,1:4:6
Gemini,"Gemini는 Google의 최신 AI 모델을 기반으로, 사용자가 글쏘기, 계획 수립, 학습 등 다양한 작업을 효율적으로 수행할 수 있도록 돕는 대화형 어시스턴트입니다.","기본 서비스는 무료, 추가 기능을 위한 유료 구독 옵션 확인필요.",Web/App,1:6:7
Claude,"Claude는 Anthropic에서 개발한 고급 AI 대화 모델입니다. 사용자와의 자연스러운 대화를 통해 다양한작업을 수행할 수 있으며, 정보 제공, 질문 답변, 창의적 작업 지원 등 광범위한 기능을 제공합니다. 윤리적이고 안전한 AI 사용을 목표로 개발되었습니다.","무료 버전과 유료 구독 모델",Web/App,1:4
Perplexity,"AI 기반 검색 엔진 및 답변 생성 도구로, 답변에 대한 출처를 명확히 제시하는 것이 특징입니다.","- Free\n- Pro: 월 $20",Web/App,6:7
Notion AI,"Notion 워크스페이스 내에서 글쓰기 초안, 요약, 번역 등 다양한 작업을 보조하는 AI 기능입니다.","유료 플랜($10~)에 포함되거나 추가 구독 필요.",Web/App,1
Copy.ai,"마케팅 카피, 블로그 포스트, 소셜 미디어 콘텐츠를 빠르게 생성하는 AI 카피라이터입니다.","무료 플랜 제공, 유료 플랜 월 $49부터 시작",Web,1
Jasper AI,"마케팅, 콘텐츠 제작 전문가를 위한 AI 글쓰기 툴로, 브랜드 보이스를 학습하여 통일된 톤앤매너를 유지합니다.","무료 체험 가능, 유료 플랜 월 $39부터 시작",Web,1
QuillBot,"문장 재구성(Paraphrasing), 요약, 문법 검사를 제공하여 글쓰기 능률을 높여주는 AI 도구입니다.","무료 플랜, 프리미엄 플랜 월 $9.95",Web,1
Writesonic,"SEO에 최적화된 블로그 포스트, 랜딩 페이지 카피 등 긴 형식의 콘텐츠를 생성하는 AI 작성 도구입니다.","무료 크레딧 제공, 유료 플랜 월 $19부터 시작",Web,1
DeepL,"매우 정확하고 자연스러운 번역 품질을 제공하는 AI 번역 서비스입니다.","무료 버전, 프로 버전 월 €7.49부터",Web/App/Desktop,1
Wrtn (뤼튼),"한국어에 특화된 AI 콘텐츠 생성 및 챗봇 플랫폼으로, 다양한 템플릿을 제공합니다.","대부분의 기능 무료, 일부 프리미엄 기능은 유료",Web/App,1:2:4
Midjourney,"텍스트 프롬프트를 통해 상상 속의 이미지를 고화질의 예술 작품으로 만들어주는 생성형 AI 이미지 도구입니다.","기본 무료 (제한적), 유료 구독 월 $10부터 시작",Web/App (Discord 기반),2
DALL-E 3,"OpenAI에서 개발한 이미지 생성 모델로, 자연어 프롬프트 이해 능력이 뛰어나며 ChatGPT와 통합되어 사용됩니다.","ChatGPT Plus($20) 사용 시 접근 가능, API 별도 요금",Web/App,2
Stable Diffusion,"가장 널리 사용되는 오픈 소스 이미지 생성 모델 중 하나로, 로컬 설치 및 커스터마이징이 자유롭습니다.","무료 (오픈 소스), 클라우드 호스팅 서비스는 유료",Web/App/Desktop,2
Leonardo.Ai,"게임 에셋 및 고품질 아트워크 생성에 특화된 AI 이미지 툴입니다.","무료 플랜 제공, 유료 플랜 월 $10부터 시작",Web,2
Adobe Firefly,"Adobe가 개발한 상업적으로 안전한 이미지 생성 AI로, 포토샵, 일러스트레이터 등과 연동됩니다.","Adobe Creative Cloud 구독에 포함, 별도 요금제 존재",Web/App,2
Runway (Gen-2),"텍스트, 이미지, 클립을 사용하여 고품질의 동영상을 생성하거나 편집할 수 있는 AI 비디오 편집 플랫폼입니다.","무료 플랜 제공, 유료 플랜 월 $15부터 시작",Web/App,5
Pika Labs,"텍스트와 이미지로 몰입감 있는 3D 및 애니메이션 비디오를 생성하는 AI 툴입니다.","무료 플랜, 유료 플랜 월 $8부터 시작",Web (Discord 기반),5
HeyGen,"스크립트만으로 AI 아바타가 말하는 전문적인 비디오를 제작할 수 있는 도구입니다.","무료 테스트 제공, 유료 플랜 월 $29부터 시작",Web,5
Synthesia,"AI 아바타와 음성을 사용하여 교육용 또는 프레젠테이션 비디오를 생성합니다.","유료 플랜 월 $22부터 시작",Web,5:7
ElevenLabs,"텍스트를 자연스럽고 감정적인 고품질 음성으로 변환하는 AI TTS(Text-to-Speech) 서비스입니다.","무료 플랜 제공, 유료 플랜 월 $5부터 시작",Web,3
Suno AI,"텍스트 프롬프트만으로 보컬과 배경 음악을 포함한 완전한 노래를 몇 초 만에 생성하는 AI 작곡 도구입니다.","무료 플랜 제공, 유료 플랜 월 $8부터 시작",Web,3
Amper Music,"사용자가 지정한 분위기나 장르에 맞는 저작권 없는 배경 음악을 생성합니다.","유료 서비스, 견적 문의 필요",Web,3
AIVA,"클래식, 영화 음악 등 감성적인 사운드트랙을 작곡하는 AI입니다.","무료 플랜, 프로 플랜 월 €15부터 시작",Web/App,3
LALAL.AI,"음원에서 보컬, 악기 등 특정 트랙을 분리해내는 AI 도구입니다.","무료 (제한적), 유료 패키지 구매 방식",Web,3
